id,uuid,status,replica_uuid,persona_uuid,context_override,owner_id,webhook_url,is_deleted,created_at,updated_at
1358740,ccf40b3f65cc,ended,r43b10cce517,p9ae12000c97,,69162,,FALSE,2025-05-31 2:43:36,2025-05-31 2:43:50
1718578,caf72c952ec234ea,ended,ra066ab28864,p70f9c176a23,,91118,,FALSE,2025-07-16 17:26:20,2025-07-16 17:31:27
1731233,c05dde1260a8343b,ended,r9d30b0e55ac,p669e93f7067,,48900,,FALSE,2025-07-18 12:18:11,2025-07-18 12:20:27
1868561,c5e35f1844aa54d0,ended,rf4703150052,p0f105b5b82e,,1,,FALSE,2025-08-09 13:31:03,2025-08-09 13:31:50
1997949,c5fef206168a543c,ended,r480d254890a,pe606ff3b042,,5514,,FALSE,2025-08-30 13:28:03,2025-08-30 13:28:37
1529939,cf262e956233a445,ended,r43b10cce517,pcca912ab715,,69162,,FALSE,2025-06-15 21:20:14,2025-06-15 21:20:18
1665252,ccab8e04a26e24a0,ended,rb17cf590e15,,,87722,,TRUE,2025-07-08 5:19:18,2025-07-08 5:20:19
1253093,c4407d3737fd,ended,r380a796aaaa,p9b44f220656,,13442,,FALSE,2025-05-15 15:17:30,2025-05-15 15:23:13
1384738,c4b4837538db,ended,r43b10cce517,p9ae12000c97,,69162,,FALSE,2025-06-01 13:42:47,2025-06-01 13:47:53
808232,cf00a294c572,ended,r480d254890a,pe85dee7fd22,,5514,,FALSE,2025-03-21 4:06:27,2025-03-21 4:07:02
1172000,c9c7586027c0,ended,r2c1d5839ac0,p1389ed2744b,,47681,,FALSE,2025-05-01 20:54:17,2025-05-01 20:56:16
1874793,c2aac7e8427464de,ended,r62baeccd777,p137422a5b93,,97625,,FALSE,2025-08-11 7:44:55,2025-08-11 7:45:25
1768401,c923f8f106b86404,ended,r480d254890a,p8368bad7bf5,,5514,,FALSE,2025-07-24 11:50:31,2025-07-24 11:51:05
1579438,c5ac85cf2a52c4d7,ended,rf4703150052,p65ecafc2d02,,11111,,FALSE,2025-06-24 1:56:07,2025-06-24 1:56:53
497020,c3a30cfa0cf2,ended,r79e1c033f,p9a95912,,1,,FALSE,2025-02-01 14:48:51,2025-02-01 14:50:53
680474,ce5f35daec93,ended,r4c41453d2,p10c33d368ed,,5514,,FALSE,2025-03-06 6:24:56,2025-03-06 6:25:31
1887730,cca7ae1e2f1684f7,ended,r3fbe3834a3e,p3bb4745d4f9,,97963,,FALSE,2025-08-12 22:14:31,2025-08-12 22:21:27
1047528,ce9c4577868e,ended,r105cfc41a,pbaa56d533c1,,41885,,FALSE,2025-04-13 11:21:59,2025-04-13 11:23:06
1137219,c6fe51e0d4c5,ended,r33bbcdcb224,p6c8e3a2b112,,24798,,TRUE,2025-04-25 18:33:12,2025-04-25 18:36:05
1998804,ca068eb6350304b3,ended,r480d254890a,p6c42ab1d161,,5514,,FALSE,2025-08-30 18:51:20,2025-08-30 18:51:54
1452786,c9dfbfead142e423,ended,r43b10cce517,pcca912ab715,,69162,,FALSE,2025-06-04 17:28:32,2025-06-04 17:33:38
1613445,ce8ca63b45a7b4f7,ended,r6ae5b6efc9d,p57b90fab974,,75743,,FALSE,2025-06-29 8:20:46,2025-06-29 8:25:52
1724759,c8b5d1015147f43e,ended,r123262072b5,p331bb3e15f4,,79018,,FALSE,2025-07-17 14:44:52,2025-07-17 14:45:59
755281,cbae27f6fad6,ended,rb17cf590e15,p0f105b5b82e,,1,,FALSE,2025-03-14 9:36:54,2025-03-14 9:42:00
1446414,c9aef06a9781949a,ended,r43b10cce517,pcca912ab715,,69162,,FALSE,2025-06-04 10:01:56,2025-06-04 10:04:47
2031919,c9bd64b7da1694e8,ended,r1f34871f3b8,p60c1f9fc179,,56720,,TRUE,2025-09-04 19:38:17,2025-09-04 19:38:37
1481706,c6bdc193ac8604d1,ended,ra54d1d861,p7fb0be3,,5471,,FALSE,2025-06-08 23:07:13,2025-06-08 23:12:19
1469213,c1b71bbdfd857486,ended,r480d254890a,p7c52bd918f5,,5514,,FALSE,2025-06-06 16:28:25,2025-06-06 16:28:58
1474843,caa792c702926404,ended,r43b10cce517,pcca912ab715,,69162,,FALSE,2025-06-07 13:54:23,2025-06-07 13:59:22
1736513,c26118fe1ed4748f,ended,rb17cf590e15,p9ec3e945c3f,,2769,,FALSE,2025-07-19 4:51:55,2025-07-19 4:52:30
1737447,c48ea90c614b343c,ended,rb17cf590e15,p9ec3e945c3f,,2769,,FALSE,2025-07-19 7:48:55,2025-07-19 7:49:29
1929534,cbd2c9aa09ceb403,ended,rdc96ac37313,p722f201c20b,,69207,,FALSE,2025-08-19 21:26:38,2025-08-19 21:29:58
1728118,c764e60b4fda54e8,ended,rf4703150052,p0f105b5b82e,,1,,FALSE,2025-07-17 23:58:57,2025-07-17 23:59:16
1866350,cf35a83d978d147c,ended,r5b885734783,,,83925,,FALSE,2025-08-08 21:08:34,2025-08-08 21:14:09
1845691,c5ae29115235d453,ended,r4317e64d25a,p17a5c3cb805,,30856,,FALSE,2025-08-06 12:23:14,2025-08-06 12:25:54
632400,c1102f888504,ended,r480d254890a,pb292aeabb5c,,5514,,FALSE,2025-02-27 0:18:11,2025-02-27 0:18:36
770836,c75a49694c2a,ended,r4c41453d2,p202d2e38143,,5514,,FALSE,2025-03-16 23:07:48,2025-03-16 23:08:23
